disease,drug
Renal Cell Carcinoma,temsirolimus
Renal Cell Carcinoma,lenvatinib
ADHD ,methylphenidate
ADHD ,amphetamine AND dextroamphetamine
ADHD ,dextroamphetamine
ADHD ,clonidine
ADHD ,bupropion
ADHD ,guanfacine
ADHD ,lisdexamfetamine
ADHD ,amphetamine
ADHD ,atomoxetine
Dercum's Disease,fentanyl
Dercum's Disease,pregabalin
Polycystic Kidney Disease,enalapril
Polycystic Kidney Disease,lisinopril
Polycystic Kidney Disease,captopril
Adrenal Insufficiency,dexamethasone
Adrenal Insufficiency,cortisone
Adrenal Insufficiency,dexamethasone
Adrenal Insufficiency,cortisone
Adrenal Insufficiency,dexamethasone
Adrenal Insufficiency,cortisone
Adrenal Insufficiency,dexamethasone
Adrenal Insufficiency,cortisone
Still's Disease,anakinra
Still's Disease,tocilizumab
Still's Disease,etanercept
Still's Disease,anakinra
Still's Disease,tocilizumab
Still's Disease,etanercept
Atrial Fibrillation,digoxin
Atrial Fibrillation,metoprolol
Atrial Fibrillation,diltiazem
Atrial Fibrillation,flecainide
Atrial Fibrillation,sotalol
Atrial Fibrillation,carvedilol
Atrial Fibrillation,propafenone
Atrial Fibrillation,rivaroxaban
Atrial Fibrillation,dronedarone
Atrial Fibrillation,clonidine
Atrial Fibrillation,propranolol
Atrial Fibrillation,digoxin
Atrial Fibrillation,metoprolol
Atrial Fibrillation,diltiazem
Atrial Fibrillation,flecainide
Atrial Fibrillation,sotalol
Atrial Fibrillation,carvedilol
Atrial Fibrillation,propafenone
Atrial Fibrillation,rivaroxaban
Atrial Fibrillation,dronedarone
Atrial Fibrillation,clonidine
Atrial Fibrillation,propranolol
Trypanosomiasis,pentamidine
Trypanosomiasis,benznidazole
Myelofibrosis,ruxolitinib
Myelofibrosis,fedratinib
Neutropenia,filgrastim
HIV Infection,lamivudine
HIV Infection,efavirenz AND emtricitabine AND tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine AND tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
AIDS Related Wasting,dronabinol
AIDS Related Wasting,megestrol
AIDS Related Wasting,somatropin
AIDS Related Wasting,dronabinol
AIDS Related Wasting,megestrol
AIDS Related Wasting,somatropin
AIDS Related Wasting,dronabinol
AIDS Related Wasting,megestrol
AIDS Related Wasting,somatropin
HIV Infection,lamivudine
HIV Infection,efavirenz AND emtricitabine AND tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine AND tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Alcoholism,gabapentin enacarbil
Alcohol Withdrawal,gabapentin
Alcohol Withdrawal,baclofen
Alcohol Withdrawal,chlordiazepoxide
Alcohol Withdrawal,diazepam
Alcohol Withdrawal,clonidine
Alcohol Withdrawal,atenolol
Alcohol Withdrawal,oxazepam
Alcohol Withdrawal,clorazepate
Alcohol Withdrawal,gabapentin
Alcohol Withdrawal,baclofen
Alcohol Withdrawal,chlordiazepoxide
Alcohol Withdrawal,diazepam
Alcohol Withdrawal,clonidine
Alcohol Withdrawal,atenolol
Alcohol Withdrawal,oxazepam
Alcohol Withdrawal,clorazepate
Alcoholic Liver Damage,propylthiouracil
Alcoholic Liver Damage,oxandrolone
Alcoholic Liver Damage,propylthiouracil
Alcoholic Liver Damage,oxandrolone
Alcoholic Liver Damage,propylthiouracil
Alcoholic Liver Damage,oxandrolone
Alcoholism,gabapentin enacarbil
Alkalosis,ammonium chloride
Alkalosis,ammonium chloride
Alkylating Agent Cystitis,sodium bicarbonate
Alkylating Agent Cystitis,citric acid AND sodium citrate
Acute Lymphocytic Leukemia,prednisone
Acute Lymphocytic Leukemia,vincristine
Acute Lymphocytic Leukemia,cyclophosphamide
Acute Lymphocytic Leukemia,methotrexate
Acute Lymphocytic Leukemia,asparaginase escherichia coli
Acute Lymphocytic Leukemia,daunorubicin
Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi
Acute Lymphocytic Leukemia,teniposide
Allergic Conjunctivitis,ketotifen
Allergic Conjunctivitis,azelastine
Allergic Conjunctivitis,cromolyn
Allergic Conjunctivitis,prednisone
Allergic Conjunctivitis,prednisolone
Allergic Conjunctivitis,epinastine
Allergic Conjunctivitis,nedocromil
Allergic Conjunctivitis,bepotastine
Allergic Conjunctivitis,cetirizine
Allergic Conjunctivitis,alcaftadine
Allergic Conjunctivitis,carbinoxamine
Allergic Conjunctivitis,doxylamine
Atopic Dermatitis,triamcinolone
Atopic Dermatitis,clobetasol
Atopic Dermatitis,betamethasone
Atopic Dermatitis,fluocinonide
Atopic Dermatitis,hydrocortisone
Atopic Dermatitis,tacrolimus
Atopic Dermatitis,prednisone
Atopic Dermatitis,mometasone
Atopic Dermatitis,desonide
Atopic Dermatitis,fluocinolone
Atopic Dermatitis,desoximetasone
Atopic Dermatitis,fluticasone
Atopic Dermatitis,methylprednisolone
Atopic Dermatitis,dexamethasone
Atopic Dermatitis,azathioprine
Allergic Rhinitis,cetirizine
Allergic Rhinitis,loratadine
Allergic Rhinitis,fluticasone
Allergic Rhinitis,montelukast
Allergic Rhinitis,fexofenadine
Allergic Rhinitis,azelastine
Allergic Rhinitis,diphenhydramine
Allergic Rhinitis,prednisone
Allergic Rhinitis,levocetirizine
Allergies,hydroxyzine
Allergies,levocetirizine
Allergies,loratadine
Allergies,doxylamine
Allergies,corticotropin
Allergies,triprolidine
Allergies,dexbrompheniramine
Allergies,chlorpheniramine AND ibuprofen AND phenylephrine
Allergies,dexbrompheniramine AND phenylephrine
Allergies,hydroxyzine
Allergies,levocetirizine
Allergies,loratadine
Allergies,doxylamine
Allergies,corticotropin
Allergies,triprolidine
Allergies,dexbrompheniramine
Allergies,chlorpheniramine AND ibuprofen AND phenylephrine
Allergies,dexbrompheniramine AND phenylephrine
Alopecia,spironolactone
Alopecia,minoxidil
Alopecia,triamcinolone
Alopecia,sulfasalazine
Alopecia,spironolactone
Alopecia,minoxidil
Alopecia,triamcinolone
Alopecia,sulfasalazine
Thalassemia,hydroxyurea
Thalassemia,deferasirox
Thalassemia,deferiprone
Alport Syndrome,lisinopril
Alport Syndrome,losartan
Alport Syndrome,enalapril
Alport Syndrome,fosinopril
Alport Syndrome,candesartan
Alport Syndrome,quinapril
Amyotrophic Lateral Sclerosis,riluzole
Amyotrophic Lateral Sclerosis,edaravone
Soft Tissue Sarcoma,pazopanib
Soft Tissue Sarcoma,doxorubicin
Soft Tissue Sarcoma,methotrexate
Soft Tissue Sarcoma,trabectedin
Soft Tissue Sarcoma,olaratumab
Alzheimer's Disease,donepezil
Alzheimer's Disease,memantine
Alzheimer's Disease,galantamine
Alzheimer's Disease,rivastigmine
Alzheimer's Disease,vitamin e
Alzheimer's Disease,donepezil AND memantine
Alzheimer's Disease,ergoloid mesylates
Alzheimer's Disease,etanercept
Amebiasis,metronidazole
Amebiasis,tinidazole
Amebiasis,nitazoxanide
Amebiasis,doxycycline
Amebiasis,paromomycin
Amebiasis,chloroquine
Amebiasis,metronidazole
Amebiasis,tinidazole
Amebiasis,nitazoxanide
Amebiasis,doxycycline
Amebiasis,paromomycin
Amebiasis,chloroquine
Amenorrhea,medroxyprogesterone
Amenorrhea,progesterone
Amenorrhea,norethindrone
Amenorrhea,medroxyprogesterone
Amenorrhea,progesterone
Amenorrhea,norethindrone
Amenorrhea,medroxyprogesterone
Amenorrhea,progesterone
Amenorrhea,norethindrone
Trypanosomiasis,pentamidine
Trypanosomiasis,benznidazole
Acute Myeloid Leukemia,cytarabine
Acute Myeloid Leukemia,vincristine
Acute Myeloid Leukemia,daunorubicin
Acute Myeloid Leukemia,idarubicin
Acute Myeloid Leukemia,decitabine
Acute Myeloid Leukemia,gemtuzumab
Acute Myeloid Leukemia,midostaurin
Acute Myeloid Leukemia,venetoclax
Acute Myeloid Leukemia,enasidenib
Acute Myeloid Leukemia,cytarabine liposomal AND daunorubicin liposomal
Acute Myeloid Leukemia,ivosidenib
Acute Myeloid Leukemia,gilteritinib
Acute Myeloid Leukemia,glasdegib
Amebiasis,metronidazole
Amebiasis,tinidazole
Amebiasis,nitazoxanide
Amebiasis,doxycycline
Amebiasis,paromomycin
Amebiasis,chloroquine
Amyloidosis,colchicine
Amyloidosis,colchicine
Amyloidosis,colchicine
Amyotrophic Lateral Sclerosis,riluzole
Amyotrophic Lateral Sclerosis,edaravone
Aspiration Pneumonia,prednisone
Aspiration Pneumonia,clindamycin
Aspiration Pneumonia,amoxicillin AND clavulanate
Aspiration Pneumonia,metronidazole
Aspiration Pneumonia,dexamethasone
Aspiration Pneumonia,lansoprazole
Aspiration Pneumonia,piperacillin AND tazobactam
Aspiration Pneumonia,ampicillin AND sulbactam
Aspiration Pneumonia,cefoxitin
Aspiration Pneumonia,cilastatin AND imipenem
Anal Fissure and Fistula,nitroglycerin
Anal Fissure and Fistula,nitroglycerin
Anal Fissure and Fistula,nitroglycerin
Fecal Incontinence,dextranomer AND sodium hyaluronate
Anaphylaxis,epinephrine
Anaphylaxis,promethazine
Anaphylaxis,epinephrine
Anaphylaxis,promethazine
Anaphylaxis,epinephrine
Anaphylaxis,promethazine
Hookworm Infection ,mebendazole
Hookworm Infection ,albendazole
Hookworm Infection ,pyrantel
Cutaneous Larva Migrans,ivermectin
Cutaneous Larva Migrans,albendazole
Hookworm Infection ,mebendazole
Hookworm Infection ,albendazole
Hookworm Infection ,pyrantel
Dercum's Disease,fentanyl
Dercum's Disease,pregabalin
Androgenetic Alopecia,finasteride
Androgenetic Alopecia,ketoconazole
Drug Induced Anemia,epoetin alfa
Drug Induced Anemia,epoetin alfa
Drug Induced Anemia,epoetin alfa
Iron Deficiency Anemia,ferrous sulfate
Iron Deficiency Anemia,ferrous gluconate
Iron Deficiency Anemia,ferrous fumarate
Iron Deficiency Anemia,iron polysaccharide
Iron Deficiency Anemia,ferumoxytol
Iron Deficiency Anemia,iron sucrose
Sickle Cell Anemia,hydroxyurea
Sickle Cell Anemia,vitamin e
Sickle Cell Anemia,glutamine
Sickle Cell Anemia,crizanlizumab
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine AND atorvastatin
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine AND atorvastatin
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine AND atorvastatin
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine AND atorvastatin
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine AND atorvastatin
Angioedema,danazol
Magnetic Resonance Angiography,gadobenate dimeglumine
Angioedema,danazol
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Edema,furosemide
Edema,hydrochlorothiazide
Edema,spironolactone
Edema,bumetanide
Edema,metolazone
Edema,torsemide
Edema,hydrochlorothiazide AND triamterene
Edema,hydrochlorothiazide AND spironolactone
Edema,triamterene
Edema,chlorthalidone
Edema,pamabrom
Edema,acetazolamide
Diffuse Idiopathic Skeletal Hyperostosis,ibuprofen
Diffuse Idiopathic Skeletal Hyperostosis,naproxen
Anorexia Nervosa,olanzapine
Anorexia Nervosa,cyproheptadine
AIDS Related Wasting,dronabinol
AIDS Related Wasting,megestrol
AIDS Related Wasting,somatropin
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Anthrax,ciprofloxacin
Anthrax,levofloxacin
Anthrax,doxycycline
Anthrax,moxifloxacin
Anthrax,penicillin g potassium
Anthrax,chloramphenicol
Anthrax,ofloxacin
Anthrax,anthrax immune globulin intravenous
Anthrax,ciprofloxacin
Anthrax,levofloxacin
Anthrax,doxycycline
Anthrax,moxifloxacin
Anthrax,penicillin g potassium
Anthrax,chloramphenicol
Anthrax,ofloxacin
Anthrax,anthrax immune globulin intravenous
Anthrax,ciprofloxacin
Anthrax,levofloxacin
Anthrax,doxycycline
Anthrax,moxifloxacin
Anthrax,penicillin g potassium
Anthrax,chloramphenicol
Anthrax,ofloxacin
Anthrax,anthrax immune globulin intravenous
Anthrax,ciprofloxacin
Anthrax,levofloxacin
Anthrax,doxycycline
Anthrax,moxifloxacin
Anthrax,penicillin g potassium
Anthrax,chloramphenicol
Anthrax,ofloxacin
Anthrax,anthrax immune globulin intravenous
Pseudomembranous Colitis,metronidazole
Pseudomembranous Colitis,vancomycin
SSRI Induced Sexual Dysfunction,buspirone
SSRI Induced Sexual Dysfunction,sildenafil
SSRI Induced Sexual Dysfunction,bupropion
SSRI Induced Sexual Dysfunction,dextroamphetamine
SSRI Induced Sexual Dysfunction,cyproheptadine
SSRI Induced Sexual Dysfunction,amantadine
Antiphospholipid Syndrome,warfarin
Antiphospholipid Syndrome,aspirin
Antiphospholipid Syndrome,heparin
Antiphospholipid Syndrome,warfarin
Antiphospholipid Syndrome,aspirin
Antiphospholipid Syndrome,heparin
Anxiety,clonazepam
Anxiety,alprazolam
Anxiety,lorazepam
Anxiety,buspirone
Anxiety,hydroxyzine
Anxiety,diazepam
Anxiety,escitalopram
Anxiety,gabapentin
Anxiety,propranolol
Anxiety,trazodone
Anxiety,bupropion
Anxiety,clonidine
Anxiety,venlafaxine
Anxiety,duloxetine
Anxiety,paroxetine
Anxiety,mirtazapine
Anxiety and Stress,sertraline
Anxiety and Stress,citalopram
Anxiety and Stress,fluoxetine
Anxiety and Stress,amitriptyline
Anxiety and Stress,venlafaxine
Anxiety and Stress,paroxetine
Anxiety and Stress,prazosin
Anxiety and Stress,fluvoxamine
Generalized Anxiety Disorder,escitalopram
Generalized Anxiety Disorder,quetiapine
Generalized Anxiety Disorder,sertraline
Generalized Anxiety Disorder,citalopram
Generalized Anxiety Disorder,pregabalin
Generalized Anxiety Disorder,venlafaxine
Generalized Anxiety Disorder,duloxetine
Generalized Anxiety Disorder,paroxetine
Anxiety,clonazepam
Anxiety,alprazolam
Anxiety,lorazepam
Anxiety,buspirone
Anxiety,hydroxyzine
Anxiety,diazepam
Anxiety,escitalopram
Anxiety,gabapentin
Anxiety,propranolol
Anxiety,trazodone
Anxiety,bupropion
Anxiety,clonidine
Anxiety,venlafaxine
Anxiety,duloxetine
Anxiety,paroxetine
Anxiety,mirtazapine
Prosthetic Heart Valves - Thrombosis Prophylaxis,aspirin
Prosthetic Heart Valves - Thrombosis Prophylaxis,warfarin
Prosthetic Heart Valves - Thrombosis Prophylaxis,dipyridamole
Auditory Processing Disorder,dexmethylphenidate
Aphthous Ulcer,triamcinolone
Aphthous Ulcer,dexamethasone
Aphthous Ulcer,benzocaine
Antiphospholipid Syndrome,warfarin
Antiphospholipid Syndrome,aspirin
Antiphospholipid Syndrome,heparin
HIV Infection,lamivudine
HIV Infection,efavirenz AND emtricitabine AND tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine AND tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Respiratory Distress Syndrome,beractant
Respiratory Distress Syndrome,poractant
Respiratory Distress Syndrome,calfactant
Occipital Neuralgia,gabapentin
Occipital Neuralgia,carbamazepine
Occipital Neuralgia,citalopram
Occipital Neuralgia,pregabalin
Arrhythmia,amiodarone
Arrhythmia,verapamil
Arrhythmia,propranolol
Arrhythmia,dofetilide
Arrhythmia,lidocaine
Arrhythmia,mexiletine
Arrhythmia,disopyramide
Arrhythmia,phenytoin
Arrhythmia,quinidine
Arrhythmia,procainamide
Atherosclerosis,rosuvastatin
Arteriosclerotic Dementia,ergoloid mesylates
Coronary Artery Disease,lisinopril
Coronary Artery Disease,amlodipine
Coronary Artery Disease,perindopril
Coronary Artery Disease,amlodipine AND atorvastatin
Coronary Artery Disease,isoxsuprine
Coronary Artery Disease,rivaroxaban
Rheumatoid Arthritis,methotrexate
Rheumatoid Arthritis,prednisone
Rheumatoid Arthritis,meloxicam
Rheumatoid Arthritis,hydroxychloroquine
Rheumatoid Arthritis,sulfasalazine
Rheumatoid Arthritis,leflunomide
Rheumatoid Arthritis,diclofenac
Rheumatoid Arthritis,naproxen
Rheumatoid Arthritis,celecoxib
Rheumatoid Arthritis,acetaminophen AND hydrocodone
Rheumatoid Arthritis,ibuprofen
Osteoarthritis,meloxicam
Osteoarthritis,diclofenac
Osteoarthritis,naproxen
Osteoarthritis,ibuprofen
Osteoarthritis,celecoxib
Osteoarthritis,chondroitin AND glucosamine
Osteoarthritis,diclofenac
Osteoarthritis,etodolac
Osteoarthritis,prednisone
Osteoarthritis,aspirin
Osteoarthritis,nabumetone
Osteoarthritis,duloxetine
Reiter's Syndrome,adalimumab
Rheumatoid Arthritis,methotrexate
Rheumatoid Arthritis,prednisone
Rheumatoid Arthritis,meloxicam
Rheumatoid Arthritis,hydroxychloroquine
Rheumatoid Arthritis,sulfasalazine
Rheumatoid Arthritis,leflunomide
Rheumatoid Arthritis,diclofenac
Rheumatoid Arthritis,naproxen
Rheumatoid Arthritis,celecoxib
Rheumatoid Arthritis,acetaminophen AND hydrocodone
Rheumatoid Arthritis,ibuprofen
Pulmonary Fibrosis,mycophenolate mofetil
Pulmonary Fibrosis,infliximab
Ascariasis,albendazole
Ascariasis,mebendazole
Ascariasis,pyrantel
Ascariasis,ivermectin
Ascariasis,nitazoxanide
Ascariasis,albendazole
Ascariasis,mebendazole
Ascariasis,pyrantel
Ascariasis,ivermectin
Ascariasis,nitazoxanide
Ascariasis,albendazole
Ascariasis,mebendazole
Ascariasis,pyrantel
Ascariasis,ivermectin
Ascariasis,nitazoxanide
Aseptic Necrosis,ibuprofen
Aseptic Necrosis,alendronate
Aseptic Necrosis,diclofenac
Aseptic Necrosis,aspirin
Aseptic Necrosis,naproxen
Aspiration Pneumonia,prednisone
Aspiration Pneumonia,clindamycin
Aspiration Pneumonia,amoxicillin AND clavulanate
Aspiration Pneumonia,metronidazole
Aspiration Pneumonia,dexamethasone
Aspiration Pneumonia,lansoprazole
Aspiration Pneumonia,piperacillin AND tazobactam
Aspiration Pneumonia,ampicillin AND sulbactam
Aspiration Pneumonia,cefoxitin
Aspiration Pneumonia,cilastatin AND imipenem
Aspiration Pneumonia,prednisone
Aspiration Pneumonia,clindamycin
Aspiration Pneumonia,amoxicillin AND clavulanate
Aspiration Pneumonia,metronidazole
Aspiration Pneumonia,dexamethasone
Aspiration Pneumonia,lansoprazole
