disease,drug
Acute Lymphocytic Leukemia,asparaginase escherichia coli
Acute Lymphocytic Leukemia,daunorubicin
Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi
Acute Lymphocytic Leukemia,teniposide
Glomerulonephritis,azathioprine
Glomerulonephritis,penicillin g benzathine
Acute Myeloid Leukemia,cytarabine
Acute Myeloid Leukemia,vincristine
Acute Myeloid Leukemia,daunorubicin
Acute Myeloid Leukemia,idarubicin
Acute Myeloid Leukemia,decitabine
Acute Myeloid Leukemia,gemtuzumab
Acute Myeloid Leukemia,midostaurin
Acute Myeloid Leukemia,venetoclax
Acute Myeloid Leukemia,enasidenib
Acute Myeloid Leukemia,cytarabine liposomal / daunorubicin liposomal
Acute Myeloid Leukemia,ivosidenib
Acute Myeloid Leukemia,gilteritinib
Acute Myeloid Leukemia,glasdegib
HIV Infection,lamivudine
HIV Infection,efavirenz / emtricitabine / tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine / tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Acute Lymphocytic Leukemia,prednisone
Acute Lymphocytic Leukemia,vincristine
Acute Lymphocytic Leukemia,cyclophosphamide
Acute Lymphocytic Leukemia,methotrexate
Acute Lymphocytic Leukemia,asparaginase escherichia coli
Acute Lymphocytic Leukemia,daunorubicin
Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi
Acute Lymphocytic Leukemia,teniposide
Acute Myeloid Leukemia,cytarabine
Acute Myeloid Leukemia,vincristine
Acute Myeloid Leukemia,daunorubicin
Acute Myeloid Leukemia,idarubicin
Acute Myeloid Leukemia,decitabine
Acute Myeloid Leukemia,gemtuzumab
Acute Myeloid Leukemia,midostaurin
Acute Myeloid Leukemia,venetoclax
Acute Myeloid Leukemia,enasidenib
Acute Myeloid Leukemia,cytarabine liposomal / daunorubicin liposomal
Acute Myeloid Leukemia,ivosidenib
Acute Myeloid Leukemia,gilteritinib
Acute Myeloid Leukemia,glasdegib
Acute Myeloid Leukemia,cytarabine
Acute Myeloid Leukemia,vincristine
Acute Myeloid Leukemia,daunorubicin
Acute Myeloid Leukemia,idarubicin
Acute Myeloid Leukemia,decitabine
Acute Myeloid Leukemia,gemtuzumab
Acute Myeloid Leukemia,midostaurin
Acute Myeloid Leukemia,venetoclax
Acute Myeloid Leukemia,enasidenib
Acute Myeloid Leukemia,cytarabine liposomal / daunorubicin liposomal
Acute Myeloid Leukemia,ivosidenib
Acute Myeloid Leukemia,gilteritinib
Acute Myeloid Leukemia,glasdegib
HIV Infection,lamivudine
HIV Infection,efavirenz / emtricitabine / tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine / tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Sinusitis,amoxicillin
Sinusitis,prednisone
Sinusitis,amoxicillin / clavulanate
Sinusitis,cefdinir
Sinusitis,azithromycin
Sinusitis,levofloxacin
Sinusitis,cefuroxime
Sinusitis,clarithromycin
Sinusitis,ciprofloxacin
Sinusitis,clindamycin
Sinusitis,sulfamethoxazole / trimethoprim
Sinusitis,moxifloxacin
ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine / dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),clonidine
ADHD (Attention Deficit Hyperactivity Disorder),bupropion
ADHD (Attention Deficit Hyperactivity Disorder),guanfacine
ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine
Renal Cell Carcinoma,pazopanib
Renal Cell Carcinoma,sunitinib
Renal Cell Carcinoma,axitinib
Renal Cell Carcinoma,nivolumab
Renal Cell Carcinoma,sorafenib
Renal Cell Carcinoma,everolimus
Renal Cell Carcinoma,bevacizumab
Renal Cell Carcinoma,cabozantinib
Renal Cell Carcinoma,medroxyprogesterone
Renal Cell Carcinoma,aldesleukin
Renal Cell Carcinoma,capecitabine
Renal Cell Carcinoma,temsirolimus
Renal Cell Carcinoma,lenvatinib
ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine / dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),clonidine
ADHD (Attention Deficit Hyperactivity Disorder),bupropion
ADHD (Attention Deficit Hyperactivity Disorder),guanfacine
ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine
Dercum's Disease,fentanyl
Dercum's Disease,pregabalin
Atrial Fibrillation,digoxin
Atrial Fibrillation,metoprolol
Atrial Fibrillation,diltiazem
Atrial Fibrillation,flecainide
Atrial Fibrillation,sotalol
Atrial Fibrillation,carvedilol
Atrial Fibrillation,propafenone
Atrial Fibrillation,rivaroxaban
Atrial Fibrillation,dronedarone
Atrial Fibrillation,clonidine
Atrial Fibrillation,propranolol
Atrial Fibrillation,digoxin
Atrial Fibrillation,metoprolol
Atrial Fibrillation,diltiazem
Atrial Fibrillation,flecainide
Atrial Fibrillation,sotalol
Atrial Fibrillation,carvedilol
Atrial Fibrillation,propafenone
Atrial Fibrillation,rivaroxaban
Atrial Fibrillation,dronedarone
Atrial Fibrillation,clonidine
Atrial Fibrillation,propranolol
Myelofibrosis,ruxolitinib
Myelofibrosis,fedratinib
HIV Infection,lamivudine
HIV Infection,efavirenz / emtricitabine / tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine / tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
AIDS Related Wasting,dronabinol
AIDS Related Wasting,megestrol
AIDS Related Wasting,somatropin
AIDS Related Wasting,dronabinol
AIDS Related Wasting,megestrol
AIDS Related Wasting,somatropin
AIDS Related Wasting,dronabinol
AIDS Related Wasting,megestrol
AIDS Related Wasting,somatropin
HIV Infection,lamivudine
HIV Infection,efavirenz / emtricitabine / tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine / tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Alkylating Agent Cystitis,sodium bicarbonate
Alkylating Agent Cystitis,citric acid / sodium citrate
Acute Lymphocytic Leukemia,prednisone
Acute Lymphocytic Leukemia,vincristine
Acute Lymphocytic Leukemia,cyclophosphamide
Acute Lymphocytic Leukemia,methotrexate
Acute Lymphocytic Leukemia,asparaginase escherichia coli
Acute Lymphocytic Leukemia,daunorubicin
Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi
Acute Lymphocytic Leukemia,teniposide
Atopic Dermatitis,triamcinolone
Atopic Dermatitis,clobetasol
Atopic Dermatitis,betamethasone
Atopic Dermatitis,fluocinonide
Atopic Dermatitis,hydrocortisone
Atopic Dermatitis,tacrolimus
Atopic Dermatitis,prednisone
Atopic Dermatitis,mometasone
Atopic Dermatitis,desonide
Atopic Dermatitis,fluocinolone
Atopic Dermatitis,desoximetasone
Atopic Dermatitis,fluticasone
Atopic Dermatitis,methylprednisolone
Atopic Dermatitis,dexamethasone
Atopic Dermatitis,azathioprine
Alopecia,spironolactone
Alopecia,minoxidil
Alopecia,triamcinolone
Alopecia,sulfasalazine
Alopecia,spironolactone
Alopecia,minoxidil
Alopecia,triamcinolone
Alopecia,sulfasalazine
Soft Tissue Sarcoma,pazopanib
Soft Tissue Sarcoma,doxorubicin
Soft Tissue Sarcoma,methotrexate
Soft Tissue Sarcoma,trabectedin
Soft Tissue Sarcoma,olaratumab
Amebiasis,metronidazole
Amebiasis,tinidazole
Amebiasis,nitazoxanide
Amebiasis,doxycycline
Amebiasis,paromomycin
Amebiasis,chloroquine
Amebiasis,metronidazole
Amebiasis,tinidazole
Amebiasis,nitazoxanide
Amebiasis,doxycycline
Amebiasis,paromomycin
Amebiasis,chloroquine
Acute Myeloid Leukemia,cytarabine
Acute Myeloid Leukemia,vincristine
Acute Myeloid Leukemia,daunorubicin
Acute Myeloid Leukemia,idarubicin
Acute Myeloid Leukemia,decitabine
Acute Myeloid Leukemia,gemtuzumab
Acute Myeloid Leukemia,midostaurin
Acute Myeloid Leukemia,venetoclax
Acute Myeloid Leukemia,enasidenib
Acute Myeloid Leukemia,cytarabine liposomal / daunorubicin liposomal
Acute Myeloid Leukemia,ivosidenib
Acute Myeloid Leukemia,gilteritinib
Acute Myeloid Leukemia,glasdegib
Amebiasis,metronidazole
Amebiasis,tinidazole
Amebiasis,nitazoxanide
Amebiasis,doxycycline
Amebiasis,paromomycin
Amebiasis,chloroquine
Aspiration Pneumonia,prednisone
Aspiration Pneumonia,clindamycin
Aspiration Pneumonia,amoxicillin / clavulanate
Aspiration Pneumonia,metronidazole
Aspiration Pneumonia,dexamethasone
Aspiration Pneumonia,lansoprazole
Aspiration Pneumonia,piperacillin / tazobactam
Aspiration Pneumonia,ampicillin / sulbactam
Aspiration Pneumonia,cefoxitin
Aspiration Pneumonia,cilastatin / imipenem
Dercum's Disease,fentanyl
Dercum's Disease,pregabalin
"Anemia, Sickle Cell",hydroxyurea
"Anemia, Sickle Cell",vitamin e
"Anemia, Sickle Cell",glutamine
"Anemia, Sickle Cell",crizanlizumab
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine / atorvastatin
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine / atorvastatin
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine / atorvastatin
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine / atorvastatin
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine / atorvastatin
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Diffuse Idiopathic Skeletal Hyperostosis,ibuprofen
Diffuse Idiopathic Skeletal Hyperostosis,naproxen
AIDS Related Wasting,dronabinol
AIDS Related Wasting,megestrol
AIDS Related Wasting,somatropin
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Anthrax,ciprofloxacin
Anthrax,levofloxacin
Anthrax,doxycycline
Anthrax,moxifloxacin
Anthrax,penicillin g potassium
Anthrax,chloramphenicol
Anthrax,ofloxacin
Anthrax,anthrax immune globulin intravenous
Anthrax,ciprofloxacin
Anthrax,levofloxacin
Anthrax,doxycycline
Anthrax,moxifloxacin
Anthrax,penicillin g potassium
Anthrax,chloramphenicol
Anthrax,ofloxacin
Anthrax,anthrax immune globulin intravenous
Anthrax,ciprofloxacin
Anthrax,levofloxacin
Anthrax,doxycycline
Anthrax,moxifloxacin
Anthrax,penicillin g potassium
Anthrax,chloramphenicol
Anthrax,ofloxacin
Anthrax,anthrax immune globulin intravenous
Anthrax,ciprofloxacin
Anthrax,levofloxacin
Anthrax,doxycycline
Anthrax,moxifloxacin
Anthrax,penicillin g potassium
Anthrax,chloramphenicol
Anthrax,ofloxacin
Anthrax,anthrax immune globulin intravenous
Pseudomembranous Colitis,metronidazole
Pseudomembranous Colitis,vancomycin
Prosthetic Heart Valves - Thrombosis Prophylaxis,aspirin
Prosthetic Heart Valves - Thrombosis Prophylaxis,warfarin
Prosthetic Heart Valves - Thrombosis Prophylaxis,dipyridamole
Auditory Processing Disorder,dexmethylphenidate
HIV Infection,lamivudine
HIV Infection,efavirenz / emtricitabine / tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine / tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Atherosclerosis,rosuvastatin
Coronary Artery Disease,lisinopril
Coronary Artery Disease,amlodipine
Coronary Artery Disease,perindopril
Coronary Artery Disease,amlodipine / atorvastatin
Coronary Artery Disease,isoxsuprine
Coronary Artery Disease,rivaroxaban
Osteoarthritis,meloxicam
Osteoarthritis,diclofenac
Osteoarthritis,naproxen
Osteoarthritis,ibuprofen
Osteoarthritis,celecoxib
Osteoarthritis,chondroitin / glucosamine
Osteoarthritis,diclofenac
Osteoarthritis,etodolac
Osteoarthritis,prednisone
Osteoarthritis,aspirin
Osteoarthritis,nabumetone
Osteoarthritis,duloxetine
Aseptic Necrosis,ibuprofen
Aseptic Necrosis,alendronate
Aseptic Necrosis,diclofenac
Aseptic Necrosis,aspirin
Aseptic Necrosis,naproxen
Aspiration Pneumonia,prednisone
Aspiration Pneumonia,clindamycin
Aspiration Pneumonia,amoxicillin / clavulanate
Aspiration Pneumonia,metronidazole
Aspiration Pneumonia,dexamethasone
Aspiration Pneumonia,lansoprazole
Aspiration Pneumonia,piperacillin / tazobactam
Aspiration Pneumonia,ampicillin / sulbactam
Aspiration Pneumonia,cefoxitin
Aspiration Pneumonia,cilastatin / imipenem
Aspiration Pneumonia,prednisone
Aspiration Pneumonia,clindamycin
Aspiration Pneumonia,amoxicillin / clavulanate
Aspiration Pneumonia,metronidazole
Aspiration Pneumonia,dexamethasone
Aspiration Pneumonia,lansoprazole
Aspiration Pneumonia,piperacillin / tazobactam
Aspiration Pneumonia,ampicillin / sulbactam
Aspiration Pneumonia,cefoxitin
Aspiration Pneumonia,cilastatin / imipenem
Aspiration Pneumonia,prednisone
Aspiration Pneumonia,clindamycin
Aspiration Pneumonia,amoxicillin / clavulanate
Aspiration Pneumonia,metronidazole
Aspiration Pneumonia,dexamethasone
Aspiration Pneumonia,lansoprazole
Aspiration Pneumonia,piperacillin / tazobactam
Aspiration Pneumonia,ampicillin / sulbactam
Aspiration Pneumonia,cefoxitin
Aspiration Pneumonia,cilastatin / imipenem
Atherosclerosis,rosuvastatin
Tinea Pedis,clotrimazole
Tinea Pedis,ketoconazole
Tinea Pedis,terbinafine
Tinea Pedis,econazole
Tinea Pedis,terbinafine
Tinea Pedis,betamethasone / clotrimazole
Tinea Pedis,tolnaftate
Tinea Pedis,ciclopirox
Tinea Pedis,miconazole
Tinea Pedis,griseofulvin
Atopic Dermatitis,triamcinolone
Atopic Dermatitis,clobetasol
Atopic Dermatitis,betamethasone
Atopic Dermatitis,fluocinonide
Atopic Dermatitis,hydrocortisone
Atopic Dermatitis,tacrolimus
Atopic Dermatitis,prednisone
Atopic Dermatitis,mometasone
Atopic Dermatitis,desonide
Atopic Dermatitis,fluocinolone
Atopic Dermatitis,desoximetasone
Atopic Dermatitis,fluticasone
Atopic Dermatitis,methylprednisolone
Atopic Dermatitis,dexamethasone
Atopic Dermatitis,azathioprine
Eczema,triamcinolone
Eczema,mometasone
Eczema,hydrocortisone
Eczema,clobetasol
Eczema,desonide
Eczema,prednisone
Eczema,fluocinonide
Eczema,ranitidine
Eczema,desoximetasone
Eczema,methotrexate
Eczema,halobetasol
Eczema,pimecrolimus
Eczema,dexamethasone
Eczema,fluocinolone
Eczema,alclometasone
Eczema,azathioprine
Atrial Fibrillation,digoxin
Atrial Fibrillation,metoprolol
Atrial Fibrillation,diltiazem
Atrial Fibrillation,flecainide
Atrial Fibrillation,sotalol
Atrial Fibrillation,carvedilol
Atrial Fibrillation,propafenone
Atrial Fibrillation,rivaroxaban
Atrial Fibrillation,dronedarone
Atrial Fibrillation,clonidine
Atrial Fibrillation,propranolol
ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine / dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),clonidine
ADHD (Attention Deficit Hyperactivity Disorder),bupropion
ADHD (Attention Deficit Hyperactivity Disorder),guanfacine
ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine
ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine / dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),clonidine
ADHD (Attention Deficit Hyperactivity Disorder),bupropion
ADHD (Attention Deficit Hyperactivity Disorder),guanfacine
ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine
ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine / dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),clonidine
ADHD (Attention Deficit Hyperactivity Disorder),bupropion
ADHD (Attention Deficit Hyperactivity Disorder),guanfacine
ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine
Auditory Processing Disorder,dexmethylphenidate
Auditory Processing Disorder,dexmethylphenidate
Auditory Processing Disorder,dexmethylphenidate
Aseptic Necrosis,ibuprofen
Aseptic Necrosis,alendronate
Aseptic Necrosis,diclofenac
Aseptic Necrosis,aspirin
Aseptic Necrosis,naproxen
Aseptic Necrosis,ibuprofen
Aseptic Necrosis,alendronate
Aseptic Necrosis,diclofenac
Aseptic Necrosis,aspirin
Aseptic Necrosis,naproxen
Back Pain,tramadol
Back Pain,ibuprofen
Back Pain,acetaminophen / hydrocodone
Back Pain,naproxen
Back Pain,diclofenac
Back Pain,duloxetine
Back Pain,aspirin
Back Pain,nabumetone
Back Pain,tramadol
Back Pain,ibuprofen
Back Pain,acetaminophen / hydrocodone
Back Pain,naproxen
Back Pain,diclofenac
Back Pain,duloxetine
Back Pain,aspirin
Back Pain,nabumetone
Campylobacter Gastroenteritis,erythromycin
Campylobacter Gastroenteritis,ofloxacin
Campylobacter Gastroenteritis,minocycline
Vertigo,meclizine
Vertigo,promethazine
Alopecia,spironolactone
Alopecia,minoxidil
Alopecia,triamcinolone
Alopecia,sulfasalazine
Alopecia,spironolactone
Alopecia,minoxidil
Alopecia,triamcinolone
Alopecia,sulfasalazine
Alopecia,spironolactone
Alopecia,minoxidil
Alopecia,triamcinolone
Alopecia,sulfasalazine
Tinea Barbae,griseofulvin
Mitral Valve Prolapse,atenolol
Mitral Valve Prolapse,metoprolol
Mitral Valve Prolapse,propranolol
Mitral Valve Prolapse,bisoprolol
Mitral Valve Prolapse,nebivolol
Mitral Valve Prolapse,nadolol
Mitral Valve Prolapse,labetalol
Basal Cell Carcinoma,fluorouracil
Basal Cell Carcinoma,imiquimod
Basal Cell Carcinoma,vismodegib
Basal Cell Carcinoma,sonidegib
Basal Cell Carcinoma,fluorouracil
Basal Cell Carcinoma,imiquimod
Basal Cell Carcinoma,vismodegib
Basal Cell Carcinoma,sonidegib
Migraine,sumatriptan
Migraine,rizatriptan
Migraine,gabapentin
Migraine,aspirin / butalbital / caffeine
Migraine,cyclobenzaprine
Migraine,diclofenac
Migraine,naratriptan
Migraine,almotriptan
Migraine,zolmitriptan
Migraine,eletriptan
Migraine,sumatriptan
Migraine,rizatriptan
Migraine,gabapentin
Migraine,aspirin / butalbital / caffeine
Migraine,cyclobenzaprine
Migraine,diclofenac
Migraine,naratriptan
Migraine,almotriptan
Migraine,zolmitriptan
Migraine,eletriptan
Basal Cell Carcinoma,fluorouracil
Basal Cell Carcinoma,imiquimod
Basal Cell Carcinoma,vismodegib
Basal Cell Carcinoma,sonidegib
Tinea Barbae,griseofulvin
Dermal Ulcer,collagenase
Dermal Ulcer,becaplermin
Dermal Ulcer,cadexomer iodine
Bejel,penicillin g benzathine
Gas,simethicone
Gas,aluminum hydroxide / magnesium hydroxide / simethicone
Bejel,penicillin g benzathine
Muscle Twitching (Fasciculations),baclofen
Pseudotumor Cerebri,acetazolamide
Chronic Fatigue Syndrome,modafinil
Chronic Fatigue Syndrome,duloxetine
Chronic Fatigue Syndrome,lisdexamfetamine
Chronic Fatigue Syndrome,amantadine
Chronic Fatigue Syndrome,armodafinil
Vertigo,meclizine
Vertigo,promethazine
Benign Prostatic Hyperplasia,tamsulosin
Benign Prostatic Hyperplasia,finasteride
Benign Prostatic Hyperplasia,doxazosin
Benign Prostatic Hyperplasia,terazosin
Benign Prostatic Hyperplasia,alfuzosin
Benign Prostatic Hyperplasia,tadalafil
Benign Prostatic Hyperplasia,dutasteride
Benign Prostatic Hyperplasia,prazosin
Benign Prostatic Hyperplasia,silodosin
Benign Prostatic Hyperplasia,dutasteride / tamsulosin
Benign Prostatic Hyperplasia,tamsulosin
Benign Prostatic Hyperplasia,finasteride
Benign Prostatic Hyperplasia,doxazosin
Benign Prostatic Hyperplasia,terazosin
Benign Prostatic Hyperplasia,alfuzosin
Benign Prostatic Hyperplasia,tadalafil
Benign Prostatic Hyperplasia,dutasteride
Benign Prostatic Hyperplasia,prazosin
Benign Prostatic Hyperplasia,silodosin
Benign Prostatic Hyperplasia,dutasteride / tamsulosin
Benign Prostatic Hyperplasia,tamsulosin
Benign Prostatic Hyperplasia,finasteride
Benign Prostatic Hyperplasia,doxazosin
Benign Prostatic Hyperplasia,terazosin
Benign Prostatic Hyperplasia,alfuzosin
Benign Prostatic Hyperplasia,tadalafil
Benign Prostatic Hyperplasia,dutasteride
Benign Prostatic Hyperplasia,prazosin
Benign Prostatic Hyperplasia,silodosin
Benign Prostatic Hyperplasia,dutasteride / tamsulosin
Muscle Twitching (Fasciculations),baclofen
Neurofibromatosis,bevacizumab
Primary Biliary Cholangitis,ursodiol
Primary Biliary Cholangitis,colchicine
Primary Biliary Cholangitis,azathioprine
Primary Biliary Cholangitis,obeticholic acid
Primary Biliary Cholangitis,ursodiol
Primary Biliary Cholangitis,colchicine
Primary Biliary Cholangitis,azathioprine
Primary Biliary Cholangitis,obeticholic acid
Mitral Valve Prolapse,atenolol
Mitral Valve Prolapse,metoprolol
Mitral Valve Prolapse,propranolol
Mitral Valve Prolapse,bisoprolol
Mitral Valve Prolapse,nebivolol
Mitral Valve Prolapse,nadolol
Mitral Valve Prolapse,labetalol
Bipolar Disorder,lamotrigine
Bipolar Disorder,lithium
Bipolar Disorder,quetiapine
Bipolar Disorder,gabapentin
Bipolar Disorder,clonazepam
Bipolar Disorder,divalproex sodium
Bipolar Disorder,bupropion
Bipolar Disorder,oxcarbazepine
Bipolar Disorder,risperidone
Bipolar Disorder,sertraline
Bipolar Disorder,aripiprazole
Bipolar Disorder,topiramate
Bipolar Disorder,olanzapine
Bipolar Disorder,venlafaxine
Bipolar Disorder,lamotrigine
Bipolar Disorder,lithium
Bipolar Disorder,quetiapine
Bipolar Disorder,gabapentin
Bipolar Disorder,clonazepam
Bipolar Disorder,divalproex sodium
Bipolar Disorder,bupropion
Bipolar Disorder,oxcarbazepine
Bipolar Disorder,risperidone
Bipolar Disorder,sertraline
Bipolar Disorder,aripiprazole
Bipolar Disorder,topiramate
Bipolar Disorder,olanzapine
Bipolar Disorder,venlafaxine
Bipolar Disorder,lamotrigine
Bipolar Disorder,lithium
Bipolar Disorder,quetiapine
Bipolar Disorder,gabapentin
Bipolar Disorder,clonazepam
Bipolar Disorder,divalproex sodium
Bipolar Disorder,bupropion
Bipolar Disorder,oxcarbazepine
Bipolar Disorder,risperidone
Bipolar Disorder,sertraline
Bipolar Disorder,aripiprazole
Bipolar Disorder,topiramate
Bipolar Disorder,olanzapine
Bipolar Disorder,venlafaxine
Bipolar Disorder,lamotrigine
Bipolar Disorder,lithium
Bipolar Disorder,quetiapine
Bipolar Disorder,gabapentin
Bipolar Disorder,clonazepam
Bipolar Disorder,divalproex sodium
Bipolar Disorder,bupropion
Bipolar Disorder,oxcarbazepine
Bipolar Disorder,risperidone
Bipolar Disorder,sertraline
Bipolar Disorder,aripiprazole
Bipolar Disorder,topiramate
