disease,drug
Acute Nonlymphocytic Leukemia,thioguanine
Acute Nonlymphocytic Leukemia,mitoxantrone
Acute Nonlymphocytic Leukemia,cyclophosphamide
Acute Nonlymphocytic Leukemia,daunorubicin
Acute Nonlymphocytic Leukemia,cytarabine
Acute Otitis Externa,ofloxacin
Acute Otitis Externa,ciprofloxacin
Acute Otitis Externa,ciprofloxacin AND hydrocortisone
Acute Otitis Externa,dexamethasone
Acute Otitis Externa,colistin sulfate AND hydrocortisone AND neomycin AND thonzonium bromide
Acute Promyelocytic Leukemia,tretinoin
Acute Promyelocytic Leukemia,arsenic trioxide
Respiratory Distress Syndrome,beractant
Respiratory Distress Syndrome,poractant
Respiratory Distress Syndrome,calfactant
HIV Infection,lamivudine
HIV Infection,efavirenz AND emtricitabine AND tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine AND tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Sinusitis,amoxicillin
Sinusitis,prednisone
Sinusitis,amoxicillin AND clavulanate
Sinusitis,cefdinir
Sinusitis,azithromycin
Sinusitis,levofloxacin
Sinusitis,cefuroxime
Sinusitis,clarithromycin
Sinusitis,ciprofloxacin
Sinusitis,clindamycin
Sinusitis,sulfamethoxazole AND trimethoprim
Sinusitis,moxifloxacin
Anxiety and Stress,sertraline
Anxiety and Stress,citalopram
Anxiety and Stress,fluoxetine
Anxiety and Stress,amitriptyline
Anxiety and Stress,venlafaxine
Anxiety and Stress,paroxetine
Anxiety and Stress,prazosin
Anxiety and Stress,fluvoxamine
Adenosine Deaminase Deficiency,pegademase bovine
Adenosine Deaminase Deficiency,elapegademase
Adams-Stokes Syndrome,epinephrine
Adams-Stokes Syndrome,ephedrine
Adams-Stokes Syndrome,isoproterenol
ADHD ,methylphenidate
ADHD ,amphetamine AND dextroamphetamine
ADHD ,dextroamphetamine
ADHD ,clonidine
ADHD ,bupropion
ADHD ,guanfacine
ADHD ,lisdexamfetamine
ADHD ,amphetamine
ADHD ,atomoxetine
Addison's Disease,hydrocortisone
Addison's Disease,fludrocortisone
Addison's Disease,dexamethasone
Renal Cell Carcinoma,pazopanib
Renal Cell Carcinoma,sunitinib
Renal Cell Carcinoma,axitinib
Renal Cell Carcinoma,nivolumab
Renal Cell Carcinoma,sorafenib
Renal Cell Carcinoma,everolimus
Renal Cell Carcinoma,bevacizumab
Renal Cell Carcinoma,cabozantinib
Renal Cell Carcinoma,medroxyprogesterone
Renal Cell Carcinoma,aldesleukin
Renal Cell Carcinoma,capecitabine
Renal Cell Carcinoma,temsirolimus
Renal Cell Carcinoma,lenvatinib
Adenosine Deaminase Deficiency,pegademase bovine
Adenosine Deaminase Deficiency,elapegademase
Adenovirus Prophylaxis,adenovirus vaccine
ADHD ,methylphenidate
ADHD ,amphetamine AND dextroamphetamine
ADHD ,dextroamphetamine
ADHD ,clonidine
ADHD ,bupropion
ADHD ,guanfacine
ADHD ,lisdexamfetamine
ADHD ,amphetamine
ADHD ,atomoxetine
Frozen Shoulder,diclofenac
Frozen Shoulder,ibuprofen
Frozen Shoulder,naproxen
Frozen Shoulder,nabumetone
Frozen Shoulder,piroxicam
Frozen Shoulder,indomethacin
Frozen Shoulder,triamcinolone
Dercum's Disease,fentanyl
Dercum's Disease,pregabalin
Adjunct to Antibiotic Therapy,probenecid
Polycystic Kidney Disease,enalapril
Polycystic Kidney Disease,lisinopril
Polycystic Kidney Disease,captopril
Adrenal Cortical Carcinoma,mitotane
Adrenal Insufficiency,dexamethasone
Adrenal Insufficiency,cortisone
Adrenal Insufficiency,dexamethasone
Adrenal Insufficiency,cortisone
Adrenal Insufficiency,dexamethasone
Adrenal Insufficiency,cortisone
Adrenal Insufficiency,dexamethasone
Adrenal Insufficiency,cortisone
Adrenocortical Insufficiency,hydrocortisone
Adrenocortical Insufficiency,prednisone
Adrenocortical Insufficiency,dexamethasone
Adrenocortical Insufficiency,triamcinolone
Adrenocortical Insufficiency,cosyntropin
Adrenogenital Syndrome,fludrocortisone
Adrenogenital Syndrome,prednisone
Adrenogenital Syndrome,dexamethasone
Adrenogenital Syndrome,methylprednisolone
Adult Human Growth Hormone Deficiency,somatropin
Still's Disease,anakinra
Still's Disease,tocilizumab
Still's Disease,etanercept
Still's Disease,anakinra
Still's Disease,tocilizumab
Still's Disease,etanercept
Atrial Fibrillation,digoxin
Atrial Fibrillation,metoprolol
Atrial Fibrillation,diltiazem
Atrial Fibrillation,flecainide
Atrial Fibrillation,sotalol
Atrial Fibrillation,carvedilol
Atrial Fibrillation,propafenone
Atrial Fibrillation,rivaroxaban
Atrial Fibrillation,dronedarone
Atrial Fibrillation,clonidine
Atrial Fibrillation,propranolol
Atrial Fibrillation,digoxin
Atrial Fibrillation,metoprolol
Atrial Fibrillation,diltiazem
Atrial Fibrillation,flecainide
Atrial Fibrillation,sotalol
Atrial Fibrillation,carvedilol
Atrial Fibrillation,propafenone
Atrial Fibrillation,rivaroxaban
Atrial Fibrillation,dronedarone
Atrial Fibrillation,clonidine
Atrial Fibrillation,propranolol
Trypanosomiasis,pentamidine
Trypanosomiasis,benznidazole
Aggressive Behavior,haloperidol
Agitated State,aripiprazole
Agitated State,olanzapine
Agitated State,loxapine
Agitation,risperidone
Agitation,olanzapine
Agitation,citalopram
Agitation,amitriptyline AND perphenazine
Agitation,loxapine
Myelofibrosis,ruxolitinib
Myelofibrosis,fedratinib
Agoraphobia,fluoxetine
Neutropenia,filgrastim
HIV Infection,lamivudine
HIV Infection,efavirenz AND emtricitabine AND tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine AND tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
AIDS Related Wasting,dronabinol
AIDS Related Wasting,megestrol
AIDS Related Wasting,somatropin
AIDS Related Wasting,dronabinol
AIDS Related Wasting,megestrol
AIDS Related Wasting,somatropin
AIDS Related Wasting,dronabinol
AIDS Related Wasting,megestrol
AIDS Related Wasting,somatropin
HIV Infection,lamivudine
HIV Infection,efavirenz AND emtricitabine AND tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine AND tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Akathisia,propranolol
Alcohol Dependence,naltrexone
Alcohol Dependence,acamprosate
Alcohol Dependence,disulfiram
Alcohol Dependence,ondansetron
Alcoholism,gabapentin enacarbil
Alcohol Withdrawal,gabapentin
Alcohol Withdrawal,baclofen
Alcohol Withdrawal,chlordiazepoxide
Alcohol Withdrawal,diazepam
Alcohol Withdrawal,clonidine
Alcohol Withdrawal,atenolol
Alcohol Withdrawal,oxazepam
Alcohol Withdrawal,clorazepate
Alcohol Withdrawal,gabapentin
Alcohol Withdrawal,baclofen
Alcohol Withdrawal,chlordiazepoxide
Alcohol Withdrawal,diazepam
Alcohol Withdrawal,clonidine
Alcohol Withdrawal,atenolol
Alcohol Withdrawal,oxazepam
Alcohol Withdrawal,clorazepate
Alcoholic Liver Damage,propylthiouracil
Alcoholic Liver Damage,oxandrolone
Alcoholic Liver Damage,propylthiouracil
Alcoholic Liver Damage,oxandrolone
Alcoholic Liver Damage,propylthiouracil
Alcoholic Liver Damage,oxandrolone
Alcoholism,gabapentin enacarbil
Vaginal pH Imbalance,hydroxyquinoline
Alkalosis,ammonium chloride
Alkalosis,ammonium chloride
Alkylating Agent Cystitis,sodium bicarbonate
Alkylating Agent Cystitis,citric acid AND sodium citrate
Acute Lymphocytic Leukemia,prednisone
Acute Lymphocytic Leukemia,vincristine
Acute Lymphocytic Leukemia,cyclophosphamide
Acute Lymphocytic Leukemia,methotrexate
Acute Lymphocytic Leukemia,asparaginase escherichia coli
Acute Lymphocytic Leukemia,daunorubicin
Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi
Acute Lymphocytic Leukemia,teniposide
Allergic Asthma,terbutaline
Allergic Asthma,salmeterol
Allergic Conjunctivitis,ketotifen
Allergic Conjunctivitis,azelastine
Allergic Conjunctivitis,cromolyn
Allergic Conjunctivitis,prednisone
Allergic Conjunctivitis,prednisolone
Allergic Conjunctivitis,epinastine
Allergic Conjunctivitis,nedocromil
Allergic Conjunctivitis,bepotastine
Allergic Conjunctivitis,cetirizine
Allergic Conjunctivitis,alcaftadine
Allergic Conjunctivitis,carbinoxamine
Allergic Conjunctivitis,doxylamine
Atopic Dermatitis,triamcinolone
Atopic Dermatitis,clobetasol
Atopic Dermatitis,betamethasone
Atopic Dermatitis,fluocinonide
Atopic Dermatitis,hydrocortisone
Atopic Dermatitis,tacrolimus
Atopic Dermatitis,prednisone
Atopic Dermatitis,mometasone
Atopic Dermatitis,desonide
Atopic Dermatitis,fluocinolone
Atopic Dermatitis,desoximetasone
Atopic Dermatitis,fluticasone
Atopic Dermatitis,methylprednisolone
Atopic Dermatitis,dexamethasone
Atopic Dermatitis,azathioprine
Allergic Reactions,diphenhydramine
Allergic Reactions,prednisone
Allergic Reactions,loratadine
Allergic Reactions,epinephrine
Allergic Reactions,chlorpheniramine
Allergic Reactions,promethazine
Allergic Reactions,triamcinolone
Allergic Reactions,cyproheptadine
Allergic Reactions,diphenhydramine
Allergic Reactions,prednisone
Allergic Reactions,loratadine
Allergic Reactions,epinephrine
Allergic Reactions,chlorpheniramine
Allergic Reactions,promethazine
Allergic Reactions,triamcinolone
Allergic Reactions,cyproheptadine
Allergic Rhinitis,cetirizine
Allergic Rhinitis,loratadine
Allergic Rhinitis,fluticasone
Allergic Rhinitis,montelukast
Allergic Rhinitis,fexofenadine
Allergic Rhinitis,azelastine
Allergic Rhinitis,diphenhydramine
Allergic Rhinitis,prednisone
Allergic Rhinitis,levocetirizine
Allergic Urticaria,hydroxyzine
Allergic Urticaria,famotidine
Allergic Urticaria,triprolidine
Allergic Urticaria,carbinoxamine
Allergic Urticaria,tetracaine
Allergies,hydroxyzine
Allergies,levocetirizine
Allergies,loratadine
Allergies,doxylamine
Allergies,corticotropin
Allergies,triprolidine
Allergies,dexbrompheniramine
Allergies,chlorpheniramine AND ibuprofen AND phenylephrine
Allergies,dexbrompheniramine AND phenylephrine
Allergies,hydroxyzine
Allergies,levocetirizine
Allergies,loratadine
Allergies,doxylamine
Allergies,corticotropin
Allergies,triprolidine
Allergies,dexbrompheniramine
Allergies,chlorpheniramine AND ibuprofen AND phenylephrine
Allergies,dexbrompheniramine AND phenylephrine
Alopecia,spironolactone
Alopecia,minoxidil
Alopecia,triamcinolone
Alopecia,sulfasalazine
Alopecia,spironolactone
Alopecia,minoxidil
Alopecia,triamcinolone
Alopecia,sulfasalazine
Thalassemia,hydroxyurea
Thalassemia,deferasirox
Thalassemia,deferiprone
Alpha-1 Proteinase Inhibitor Deficiency,alpha 1-proteinase inhibitor
Alpha-1 Proteinase Inhibitor Deficiency,alpha 1-proteinase inhibitor
Alport Syndrome,lisinopril
Alport Syndrome,losartan
Alport Syndrome,enalapril
Alport Syndrome,fosinopril
Alport Syndrome,candesartan
Alport Syndrome,quinapril
Amyotrophic Lateral Sclerosis,riluzole
Amyotrophic Lateral Sclerosis,edaravone
Soft Tissue Sarcoma,pazopanib
Soft Tissue Sarcoma,doxorubicin
Soft Tissue Sarcoma,methotrexate
Soft Tissue Sarcoma,trabectedin
Soft Tissue Sarcoma,olaratumab
Alzheimer's Disease,donepezil
Alzheimer's Disease,memantine
Alzheimer's Disease,galantamine
Alzheimer's Disease,rivastigmine
Alzheimer's Disease,vitamin e
Alzheimer's Disease,donepezil AND memantine
Alzheimer's Disease,ergoloid mesylates
Alzheimer's Disease,etanercept
Amebiasis,metronidazole
Amebiasis,tinidazole
Amebiasis,nitazoxanide
Amebiasis,doxycycline
Amebiasis,paromomycin
Amebiasis,chloroquine
Amebiasis,metronidazole
Amebiasis,tinidazole
Amebiasis,nitazoxanide
Amebiasis,doxycycline
Amebiasis,paromomycin
Amebiasis,chloroquine
Amenorrhea,medroxyprogesterone
Amenorrhea,progesterone
Amenorrhea,norethindrone
Amenorrhea,medroxyprogesterone
Amenorrhea,progesterone
Amenorrhea,norethindrone
Amenorrhea,medroxyprogesterone
Amenorrhea,progesterone
Amenorrhea,norethindrone
Trypanosomiasis,pentamidine
Trypanosomiasis,benznidazole
Acute Myeloid Leukemia,cytarabine
Acute Myeloid Leukemia,vincristine
Acute Myeloid Leukemia,daunorubicin
Acute Myeloid Leukemia,idarubicin
Acute Myeloid Leukemia,decitabine
Acute Myeloid Leukemia,gemtuzumab
Acute Myeloid Leukemia,midostaurin
Acute Myeloid Leukemia,venetoclax
Acute Myeloid Leukemia,enasidenib
Acute Myeloid Leukemia,cytarabine liposomal AND daunorubicin liposomal
Acute Myeloid Leukemia,ivosidenib
Acute Myeloid Leukemia,gilteritinib
Acute Myeloid Leukemia,glasdegib
Amebiasis,metronidazole
Amebiasis,tinidazole
Amebiasis,nitazoxanide
Amebiasis,doxycycline
Amebiasis,paromomycin
Amebiasis,chloroquine
Amyloid Cardiomyopathy,tafamidis
Amyloidogenic Transthyretin Amyloidosis,inotersen
Amyloidogenic Transthyretin Amyloidosis,patisiran
Amyloidosis,colchicine
Amyloidosis,colchicine
Amyloidosis,colchicine
Amyotrophic Lateral Sclerosis,riluzole
Amyotrophic Lateral Sclerosis,edaravone
Aspiration Pneumonia,prednisone
Aspiration Pneumonia,clindamycin
Aspiration Pneumonia,amoxicillin AND clavulanate
Aspiration Pneumonia,metronidazole
Aspiration Pneumonia,dexamethasone
Aspiration Pneumonia,lansoprazole
Aspiration Pneumonia,piperacillin AND tazobactam
Aspiration Pneumonia,ampicillin AND sulbactam
Aspiration Pneumonia,cefoxitin
Aspiration Pneumonia,cilastatin AND imipenem
Anal Cancer,capecitabine
Anal Cancer,fluorouracil
Anal Cancer,mitomycin
Anal Cancer,cisplatin
Anal Fissure and Fistula,nitroglycerin
Anal Fissure and Fistula,nitroglycerin
Anal Fissure and Fistula,nitroglycerin
Fecal Incontinence,dextranomer AND sodium hyaluronate
Anal Itching,hydrocortisone
Anal Itching,clobetasol
Anal Itching,lidocaine
Anal Itching,zinc oxide
Anal Itching,benzocaine
Anaphylaxis,epinephrine
Anaphylaxis,promethazine
Anaphylaxis,epinephrine
Anaphylaxis,promethazine
Anaphylaxis,epinephrine
Anaphylaxis,promethazine
Anaplastic Astrocytoma,temozolomide
Anaplastic Astrocytoma,procarbazine
Anaplastic Oligodendroglioma,temozolomide
Anaplastic Oligodendroglioma,vincristine
Anaplastic Oligodendroglioma,lomustine
Anaplastic Oligodendroglioma,procarbazine
Thyroid Cancer,thyroid desiccated
Thyroid Cancer,sodium iodide-i-131
Thyroid Cancer,sorafenib
Thyroid Cancer,lenvatinib
Thyroid Cancer,doxorubicin
Thyroid Cancer,cabozantinib
Thyroid Cancer,thyrotropin alpha
Thyroid Cancer,vandetanib
Thyroid Cancer,dabrafenib
Thyroid Cancer,trametinib
Hookworm Infection ,mebendazole
Hookworm Infection ,albendazole
Hookworm Infection ,pyrantel
Cutaneous Larva Migrans,ivermectin
Cutaneous Larva Migrans,albendazole
Hookworm Infection ,mebendazole
Hookworm Infection ,albendazole
Hookworm Infection ,pyrantel
Dercum's Disease,fentanyl
Dercum's Disease,pregabalin
Androgenetic Alopecia,finasteride
Androgenetic Alopecia,ketoconazole
Anemia,epoetin alfa
Anemia,multivitamin with iron
Anemia,pyridoxine
Anemia,oxymetholone
Anemia,lenalidomide
Anemia Associated with Chronic Renal Failure,ferrous sulfate
Anemia Associated with Chronic Renal Failure,epoetin alfa
Anemia Associated with Chronic Renal Failure,ferrous fumarate
Anemia Associated with Chronic Renal Failure,darbepoetin alfa
Anemia Associated with Chronic Renal Failure,ferrous gluconate
Anemia Associated with Chronic Renal Failure,epoetin beta-methoxy polyethylene glycol
Anemia Associated with Iron Deficiency,ferrous fumarate AND folic acid
Drug Induced Anemia,epoetin alfa
Anemia Prior to Surgery,epoetin alfa
Chemotherapy Induced Anemia,epoetin alfa
Chemotherapy Induced Anemia,darbepoetin alfa
Drug Induced Anemia,epoetin alfa
Drug Induced Anemia,epoetin alfa
Iron Deficiency Anemia,ferrous sulfate
Iron Deficiency Anemia,ferrous gluconate
Iron Deficiency Anemia,ferrous fumarate
Iron Deficiency Anemia,iron polysaccharide
Iron Deficiency Anemia,ferumoxytol
Iron Deficiency Anemia,iron sucrose
Megaloblastic Anemia,folic acid
Megaloblastic Anemia,leucovorin
Sickle Cell Anemia,hydroxyurea
Sickle Cell Anemia,vitamin e
Sickle Cell Anemia,glutamine
Sickle Cell Anemia,crizanlizumab
Anesthesia,propofol
Anesthesia,lidocaine
Anesthesia,fentanyl
Anesthesia,lidocaine AND prilocaine
Anesthesia,ketamine
Anesthesia,succinylcholine
Anesthesia,glycopyrrolate
Anesthesia,lidocaine
Anesthesia,rocuronium
Anesthesia,etomidate
Anesthesia,vecuronium
Anesthesia,hyoscyamine
Anesthesia,cisatracurium
Anesthetic Adjunct,hydromorphone
Anesthetic Adjunct,fentanyl
Anesthetic Adjunct,atracurium
Anesthetic Adjunct,butorphanol
Anesthetic Adjunct,methohexital
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine AND atorvastatin
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine AND atorvastatin
Angina Pectoris Prophylaxis,isosorbide mononitrate
Angina Pectoris Prophylaxis,aspirin
Angina Pectoris Prophylaxis,metoprolol
Angina Pectoris Prophylaxis,nitroglycerin
Angina Pectoris Prophylaxis,diltiazem
Angina Pectoris Prophylaxis,bisoprolol
Angina Pectoris Prophylaxis,isosorbide dinitrate
Angina Pectoris Prophylaxis,nifedipine
Angina Pectoris Prophylaxis,atenolol
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine AND atorvastatin
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine AND atorvastatin
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine AND atorvastatin
Angioblastoma,interferon alfa-2b
Angiocardiography,iohexol
Angioedema,danazol
Magnetic Resonance Angiography,gadobenate dimeglumine
Peripheral Angiography,iohexol
Renal Angiomyolipoma,everolimus
Angioedema,danazol
Angiostrongylosis,mebendazole
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Edema,furosemide
Edema,hydrochlorothiazide
Edema,spironolactone
Edema,bumetanide
Edema,metolazone
Edema,torsemide
Edema,hydrochlorothiazide AND triamterene
